MAG_AUTO_F444W,MAGERR_AUTO_F444W,KRON_RADIUS_F444W,PETRO_RADIUS_F444W,ALPHA_J2000_F444W,DELTA_J2000_F444W,A_IMAGE_F444W,B_IMAGE_F444W,THETA_IMAGE_F444W,ELONGATION_F444W,ELLIPTICITY_F444W,CLASS_STAR_F444W,FLUX_RADIUS_F444W,idx42,d2d42,MAG_AUTO_F277W,MAGERR_AUTO_F277W,KRON_RADIUS_F277W,PETRO_RADIUS_F277W,ALPHA_J2000_F277W,DELTA_J2000_F277W,A_IMAGE_F277W,B_IMAGE_F277W,THETA_IMAGE_F277W,ELONGATION_F277W,ELLIPTICITY_F277W,CLASS_STAR_F277W,FLUX_RADIUS_F277W,idx415,d2d415,MAG_AUTO_F150W,MAGERR_AUTO_F150W,KRON_RADIUS_F150W,PETRO_RADIUS_F150W,ALPHA_J2000_F150W,DELTA_J2000_F150W,A_IMAGE_F150W,B_IMAGE_F150W,THETA_IMAGE_F150W,ELONGATION_F150W,ELLIPTICITY_F150W,CLASS_STAR_F150W,FLUX_RADIUS_F150W,idx411,d2d411,MAG_AUTO_F115W,MAGERR_AUTO_F115W,KRON_RADIUS_F115W,PETRO_RADIUS_F115W,ALPHA_J2000_F115W,DELTA_J2000_F115W,A_IMAGE_F115W,B_IMAGE_F115W,THETA_IMAGE_F115W,ELONGATION_F115W,ELLIPTICITY_F115W,CLASS_STAR_F115W,FLUX_RADIUS_F115W
24.345978483044515,0.0066694963190283,3.5,3.96,150.2855453163118,1.746714103431706,3.103,2.713,-47.64,1.143,0.125,0.967,2.932,458837,0.0077788946787223,26.85396802480809,0.0371538799972871,3.5,4.62,150.2855440875658,1.7467123256071182,1.966,1.717,-42.26,1.145,0.127,0.829,2.169,124140,0.0024496316349069,25.97796546125488,0.0299042335471509,3.5,3.96,150.2855456891648,1.74671353411069,1.305,1.266,14.39,1.031,0.03,0.963,1.272,378992,0.000753806085641,25.363228448961543,0.0213714475113885,3.5,3.96,150.28554538232902,1.7467139047103126,1.33,1.273,-11.96,1.045,0.043,0.438,1.156
26.36620179262473,0.0476787783720145,5.23,5.28,150.23509630389103,1.7860970568976375,2.27,2.027,-38.34,1.12,0.107,0.963,3.187,462499,0.0072910253191175,28.03693119464254,0.0804362147400951,3.5,4.62,150.2350966090735,1.7860990590796215,1.561,1.154,3.89,1.352,0.26,0.656,1.735,126705,0.0191975720097158,27.06527140097029,0.0904055800138724,4.45,3.96,150.23509898207962,1.786092444791322,1.211,1.035,-28.6,1.17,0.145,0.689,1.284,381528,0.0210097466197551,27.137457369044085,0.105814147257927,3.96,3.96,150.2350991859056,1.7860919813255212,1.068,1.023,-87.82,1.044,0.042,0.862,1.229
25.285140202765387,0.013378979637985,3.52,4.62,150.2968337109887,1.811297809398542,2.475,2.399,48.19,1.032,0.031,0.973,2.725,470927,0.0040499024555552,27.820437659336527,0.0891066591435905,4.63,8.58,150.29683479366585,1.8112981168807187,1.409,1.366,30.0,1.031,0.03,0.613,2.209,133135,0.0065132819025132,26.705368755515416,0.0735326261209551,4.46,4.62,150.29683407986275,1.8112960381178629,1.343,1.12,87.89,1.199,0.166,0.906,1.455,388295,0.0027768324207557,26.460133115594747,0.0572081075640782,3.5,3.96,150.29683326513893,1.8112984389901448,1.302,1.181,-62.66,1.102,0.093,0.017,1.342
23.45390870084395,0.0032296983107958,3.5,3.5,150.1750123037441,2.0720877716870065,3.498,3.167,67.8,1.104,0.094,0.986,2.967,426810,0.0058475428137429,25.128270522996093,0.009274605950605,3.5,3.96,150.1750107549745,2.072087278883051,2.595,2.268,-88.6,1.144,0.126,0.942,2.284,98462,0.0044460595857337,24.219190488858303,0.0071721895966601,3.5,3.5,150.17501109191377,2.0720880138708044,1.718,1.555,88.38,1.105,0.095,1.0,1.282,244899,0.0020226793111045,23.822920378019774,0.005917553125571,3.5,3.5,150.1750125848172,2.0720882582901674,1.579,1.493,73.84,1.058,0.054,0.976,1.232
25.63787286352572,0.0187358322463124,3.76,4.62,150.29451710134154,2.118125518550251,2.542,2.287,67.05,1.112,0.101,0.975,2.891,450686,0.0162581995188912,27.918211832852226,0.0742894425789805,3.5,5.28,150.2944703391325,2.118139034535962,1.662,1.334,-74.3,1.245,0.197,0.719,1.971,116689,0.0090618873162368,26.86639698231064,0.0692091587132201,4.09,4.62,150.2945167724402,2.118123022909689,1.216,1.09,-9.01,1.115,0.103,0.816,1.243,266593,0.0077164042224136,26.1237479153147,0.0403289985046116,3.5,3.96,150.2945186630507,2.1181240492799267,1.312,1.17,-89.57,1.121,0.108,0.058,1.152
26.68579097698527,0.0546466939159742,5.15,5.94,150.29248124002092,2.132256625771159,1.986,1.894,-56.67,1.049,0.046,0.922,3.0,453176,0.0143625863000279,28.064998087956106,0.080942668387198,3.5,7.92,150.2924312766836,2.132277281876904,1.614,1.216,-77.79,1.327,0.246,0.113,2.281,118585,0.0106246724476342,26.56288813311306,0.0919079077586606,5.98,7.92,150.2924840976383,2.1322558804615035,1.44,1.355,-42.87,1.063,0.059,0.196,2.682,268575,0.0120456503552453,26.82617521193389,0.0668809202412135,3.5,3.96,150.2924825339101,2.1322535396768703,1.169,1.03,-77.79,1.135,0.119,0.858,1.101
26.069635083057403,0.0285220071625735,4.11,4.62,150.0788412278791,2.0369656923490984,2.33,2.116,-23.92,1.101,0.092,0.976,2.811,304761,0.0104982950323099,27.761900673763208,0.0946971183476194,5.07,5.28,150.0788420008211,2.036968504376384,1.625,1.406,-74.74,1.156,0.135,0.454,2.108,246771,0.0231457746846027,26.59031418492152,0.0717061646623352,5.08,3.96,150.07884627589303,2.036969678161563,1.277,1.177,-89.86,1.085,0.078,0.298,1.64,416599,0.0224580916608395,26.358187806938208,0.0463464744192702,3.5,3.96,150.07884597178307,2.0369697470905184,1.207,1.123,74.65,1.075,0.07,0.308,1.136
24.51706720892272,0.0078817434246822,3.5,3.96,150.18987978764818,2.1620420386527366,3.201,2.8,-87.05,1.143,0.125,0.977,2.937,348896,0.0057477014161203,26.00843854421017,0.0179922133153428,3.5,4.62,150.18987832923165,2.1620426906711434,2.17,1.976,78.51,1.098,0.09,0.926,2.166,117417,0.015928412798599,25.23809314704265,0.0156629720874758,3.5,3.96,150.18987539753118,2.162042614001564,1.455,1.333,63.6,1.091,0.084,0.958,1.299,267270,0.0130638000124746,25.12062703882645,0.018218711517877,3.5,3.96,150.1898762078358,2.162042648253852,1.556,1.262,73.85,1.233,0.189,0.337,1.233
26.4692447599266,0.0383658582764108,4.08,4.62,149.81783973631178,1.9482523207807243,2.275,1.937,7.84,1.174,0.149,0.98,2.535,205179,0.0066745610867458,28.00542289398684,0.0780985879310456,3.5,5.94,149.81784057209788,1.9482506655614389,1.492,1.332,-43.91,1.12,0.107,0.26,1.929,47901,0.0148583594008626,26.71316620658093,0.07557480892185,4.68,6.6,149.81783574647932,1.948251255687796,1.36,1.246,-73.29,1.091,0.084,0.17,1.496,134369,0.0157607333317589,26.640123527429296,0.0569270842432114,3.5,3.5,149.81783744347237,1.9482485904073688,1.176,1.084,6.76,1.085,0.079,0.822,1.092
26.08239836458274,0.0244827061184073,3.5,4.62,149.8660388127727,1.966473319192102,2.291,2.161,20.9,1.06,0.057,0.976,2.671,213931,0.007918607006757,27.7370161925922,0.067932871257485,3.71,5.94,149.86604091238385,1.9664726595547333,1.604,1.392,27.55,1.153,0.133,0.949,2.025,213680,0.0043651559054697,26.76467984500258,0.0567631931731844,3.5,3.96,149.86603940623576,1.966474376773108,1.288,1.141,-61.31,1.129,0.114,0.646,1.276,142697,0.0101052322677184,26.203110159202,0.0451062397197668,3.5,4.62,149.8660374655203,1.9664708561964592,1.348,1.23,-65.2,1.096,0.087,0.025,1.312
